2026-03-25 11:45:02 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:45:02 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:45:03 INFO  TC_001RegisterTest:76 - Password Error : Please enter Password.
2026-03-25 11:45:04 INFO  TC_001RegisterTest:86 - ***** All register Tests Completed *****
2026-03-25 11:45:04 INFO  TC_001RegisterTest:87 -  page navigate  register To login.
2026-03-25 11:45:06 INFO  TC_006_UsefulLinksTest:41 - *****usefullinks Validation Completed *****
2026-03-25 11:45:09 INFO  TC_006_UsefulLinksTest:41 - *****usefullinks Validation Completed *****
2026-03-25 11:45:09 INFO  TC_004_AddUserTest:27 - Opening application URL: file:/C:/WorkSpace/Pooja_Workspace/selenium/Eclipse%20workspace/Admin-Portal/target/test-classes/static%20Website/index.html
2026-03-25 11:45:09 INFO  TC_004_AddUserTest:30 - Logging into application
2026-03-25 11:45:10 INFO  TC_004_AddUserTest:33 - Login completed successfully
2026-03-25 11:45:10 INFO  TC_004_AddUserTest:39 - Starting verifyUsersPageAndDelete test
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:43 - Clicked on Users menu
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:48 - Verifying page title and heading
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:52 - Verifying user count
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:55 - Trying to delete default user
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:59 - Deleting row tr_2 user
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:68 - Delete alert message: User deleted successfully.
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:76 - verifyUsersPageAndDelete test completed
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:174 - Loading Add User test data from JSON
2026-03-25 11:45:11 INFO  TC_004_AddUserTest:83 - Starting Add User Test Case: AU_01
2026-03-25 11:45:12 INFO  TC_004_AddUserTest:27 - Opening application URL: file:/C:/WorkSpace/Pooja_Workspace/selenium/Eclipse%20workspace/Admin-Portal/target/test-classes/static%20Website/index.html
2026-03-25 11:45:12 INFO  TC_004_AddUserTest:94 - Verifying Add User page title and heading
2026-03-25 11:45:12 INFO  TC_004_AddUserTest:99 - Entering user details
2026-03-25 11:45:12 INFO  TC_004_AddUserTest:30 - Logging into application
2026-03-25 11:45:13 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:45:13 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:45:13 INFO  TC_004_AddUserTest:33 - Login completed successfully
2026-03-25 11:45:13 INFO  TC_004_AddUserTest:39 - Starting verifyUsersPageAndDelete test
2026-03-25 11:45:13 INFO  TC_004_AddUserTest:109 - Submitting form for TC: AU_01
2026-03-25 11:45:13 INFO  TC_004_AddUserTest:115 - Alert received: User Added Successfully. You can not see added user.
2026-03-25 11:45:13 INFO  TC_004_AddUserTest:144 - Add User Test Case Completed: AU_01
2026-03-25 11:45:13 INFO  TC_004_AddUserTest:83 - Starting Add User Test Case: AU_02
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:43 - Clicked on Users menu
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:48 - Verifying page title and heading
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:52 - Verifying user count
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:55 - Trying to delete default user
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:59 - Deleting row tr_2 user
2026-03-25 11:45:14 INFO  TC_001RegisterTest:48 - Alert Message : User registered successfully.
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:94 - Verifying Add User page title and heading
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:99 - Entering user details
2026-03-25 11:45:14 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:68 - Delete alert message: User deleted successfully.
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:76 - verifyUsersPageAndDelete test completed
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:174 - Loading Add User test data from JSON
2026-03-25 11:45:14 INFO  TC_004_AddUserTest:83 - Starting Add User Test Case: AU_01
2026-03-25 11:45:14 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:45:15 INFO  TC_004_AddUserTest:94 - Verifying Add User page title and heading
2026-03-25 11:45:15 INFO  TC_004_AddUserTest:99 - Entering user details
2026-03-25 11:45:15 INFO  TC_001RegisterTest:55 - Name Error : Please enter Name.
2026-03-25 11:45:15 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:45:15 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:45:15 INFO  TC_004_AddUserTest:109 - Submitting form for TC: AU_02
2026-03-25 11:45:15 WARN  TC_004_AddUserTest:120 - Expecting name validation error
2026-03-25 11:45:15 INFO  TC_004_AddUserTest:144 - Add User Test Case Completed: AU_02
2026-03-25 11:45:15 INFO  TC_004_AddUserTest:83 - Starting Add User Test Case: AU_03
2026-03-25 11:45:15 INFO  TC_001RegisterTest:62 - Mobile Error : Please enter Mobile.
2026-03-25 11:45:16 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:45:16 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:45:16 INFO  TC_004_AddUserTest:94 - Verifying Add User page title and heading
2026-03-25 11:45:16 INFO  TC_004_AddUserTest:99 - Entering user details
2026-03-25 11:45:16 INFO  TC_004_AddUserTest:109 - Submitting form for TC: AU_01
